,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Cuba,CUB,0.29,0.26,4,63.44,52.15,75.81,0.37,0.23,4,67.01,54.64,76.8,0.38,0.26,4,67.51,57.36,78.17,0.42,0.22,4,70.71,59.6,77.78,0.24,0.22,5,63.13,55.56,75.25,0.23,0.2,6,60.98,53.66,72.2,0.28,0.2,6,63.9,55.61,71.22,0.26,0.18,7,63.9,56.1,72.2,0.31,0.19,7,66.02,57.77,72.82,0.27,0.19,6,64.56,56.8,73.3,0.28,0.2,6,66.03,57.89,72.25,0.31,0.19,6,65.71,56.67,72.38,0.27,0.19,6,64.45,56.87,72.04,0.24,0.17,7,63.51,56.87,70.14,0.12,0.18,7,61.61,54.03,67.3,0.07,0.17,7,58.65,51.44,65.38,0.07,0.17,7,60.1,52.4,66.35,0.17,0.17,7,62.02,53.85,66.83,0.27,0.15,7,64.42,57.69,68.75
Cayman Islands,CYM,1.32,0.48,1,87.1,72.04,96.77,1.38,0.46,1,89.18,74.74,96.91,1.36,0.47,1,88.83,73.1,95.43,1.35,0.44,1,88.38,74.75,95.45,1.38,0.4,1,88.89,76.26,94.95,1.28,0.4,1,86.83,73.66,94.15,1.28,0.34,1,88.29,73.66,93.17,1.26,0.42,1,88.29,72.2,94.63,1.27,0.42,1,88.83,72.33,93.69,0.81,0.4,1,77.18,61.65,91.75,1.12,0.29,2,84.21,72.73,91.39,1.13,0.29,2,84.29,72.38,92.38,1.35,0.3,2,88.63,77.25,93.84,1.35,0.31,2,88.15,76.78,94.31,1.36,0.31,2,89.1,77.25,94.79,1.02,0.3,2,81.73,69.23,90.87,1.02,0.29,2,81.73,68.27,90.38,0.53,0.31,2,68.75,58.17,81.25,0.53,0.28,2,69.23,58.65,81.25
Cyprus,CYP,1.33,0.26,4,87.63,80.65,93.01,1.1,0.23,4,83.51,76.8,90.72,1.12,0.26,4,84.77,75.63,90.86,1.16,0.22,4,84.34,78.28,90.4,1.23,0.24,4,85.35,77.27,91.41,0.89,0.21,5,80,72.2,85.85,0.91,0.2,5,79.51,71.22,84.39,1.09,0.21,6,83.41,74.15,90.73,1.08,0.22,6,83.5,74.27,91.26,1.2,0.21,6,84.95,77.18,91.75,0.91,0.19,7,78.47,72.25,85.17,0.97,0.19,7,80,72.38,86.19,0.87,0.19,7,77.73,72.04,83.89,1.25,0.18,8,85.31,80.57,90.52,1.25,0.18,8,84.83,80.57,89.57,1.08,0.17,8,82.21,76.44,88.94,1.01,0.17,8,80.77,75.48,87.5,0.83,0.18,8,77.88,69.23,81.73,0.78,0.15,9,78.37,69.71,81.73
Czech Republic,CZE,0.68,0.21,6,74.73,63.98,81.18,0.57,0.16,8,73.2,64.43,79.38,0.21,0.17,9,62.44,57.36,71.07,0.38,0.15,9,69.19,61.11,74.75,0.51,0.15,10,72.22,63.13,76.26,0.44,0.14,11,69.76,60.49,74.15,0.49,0.14,10,68.29,62.93,73.66,0.36,0.13,12,67.8,60,72.2,0.3,0.13,13,65.53,58.25,71.84,0.36,0.13,13,66.99,61.65,73.3,0.39,0.13,12,69.38,62.68,72.25,0.33,0.13,13,66.67,60.95,71.9,0.34,0.13,14,67.77,61.61,71.56,0.27,0.12,14,64.93,60.19,70.14,0.23,0.13,13,63.51,59.24,68.72,0.37,0.13,13,66.35,59.62,70.67,0.43,0.13,13,67.31,62.98,73.08,0.54,0.13,12,69.23,65.38,76.44,0.57,0.12,12,70.67,65.87,77.88
Germany,DEU,1.91,0.21,6,94.09,90.86,100,2.05,0.19,6,94.85,92.27,100,1.86,0.2,6,93.4,90.86,96.45,1.94,0.18,6,93.43,91.41,96.97,1.93,0.19,6,93.43,91.41,97.98,1.86,0.17,7,93.66,91.71,97.07,1.89,0.17,7,94.15,92.2,97.56,1.8,0.16,9,93.17,91.71,96.1,1.74,0.17,9,92.23,91.26,95.15,1.76,0.16,9,93.2,91.75,95.63,1.76,0.17,8,93.3,90.91,95.22,1.78,0.17,9,93.33,90,95.71,1.74,0.16,11,93.36,89.57,95.26,1.83,0.15,11,94.31,91,95.73,1.81,0.15,10,94.31,91,96.21,1.84,0.14,9,94.71,91.83,95.67,1.84,0.14,9,93.27,91.83,96.15,1.84,0.15,10,93.75,92.31,96.63,1.84,0.13,10,94.23,92.31,97.12
Djibouti,DJI,-0.72,0.34,2,29.03,4.84,51.08,-0.78,0.28,4,27.32,6.7,44.85,-0.95,0.27,4,18.27,2.54,35.53,-0.74,0.28,4,28.28,6.06,46.97,-0.82,0.27,4,22.22,5.56,42.93,-0.58,0.24,5,33.17,15.12,51.22,-0.71,0.23,5,27.32,13.17,46.83,-0.66,0.24,5,30.24,14.63,46.83,-0.54,0.24,5,35.44,18.45,53.88,-0.33,0.24,6,44.66,27.18,59.71,-0.37,0.21,7,43.06,25.36,58.37,-0.4,0.21,7,41.9,24.76,56.19,-0.41,0.21,7,41.23,23.22,55.92,-0.46,0.22,7,38.86,22.27,56.4,-0.54,0.22,8,35.55,19.91,53.55,-0.6,0.22,8,32.69,15.38,50.48,-0.66,0.21,7,29.33,13.94,46.63,-0.65,0.21,7,30.77,13.46,45.67,-0.64,0.21,7,29.33,14.9,45.67
Dominica,DMA,0.87,0.48,1,80.11,59.14,91.4,0.53,0.38,2,71.65,52.58,84.02,0.3,0.34,2,64.47,47.21,79.19,0.52,0.34,2,72.73,56.06,83.33,0.53,0.32,2,73.23,58.59,82.32,0.61,0.29,3,73.17,58.54,83.9,0.66,0.28,3,73.17,60.49,82.93,0.62,0.31,3,73.17,59.51,83.9,0.62,0.31,3,73.79,59.71,84.47,0.68,0.32,2,74.27,61.65,84.47,0.73,0.34,2,73.21,62.68,85.65,0.71,0.34,2,73.33,62.38,85.24,0.71,0.33,2,72.99,62.56,85.31,0.66,0.33,2,73.46,62.09,83.89,0.67,0.34,2,73.46,61.14,83.41,0.62,0.34,2,71.63,58.17,82.69,0.62,0.24,3,71.63,62.98,80.77,0.62,0.24,3,70.67,63.94,81.25,0.65,0.24,3,73.56,63.94,81.73
Denmark,DNK,2.23,0.21,6,100,93.55,100,2.26,0.19,6,99.48,93.81,100,2.39,0.2,6,99.49,94.42,100,2.37,0.18,6,99.49,95.45,100,2.42,0.19,6,99.49,96.97,100,2.43,0.17,7,99.51,97.07,100,2.29,0.17,7,99.02,96.1,100,2.47,0.18,8,100,97.07,100,2.45,0.19,8,100,96.12,100,2.39,0.18,8,100,96.12,100,2.45,0.17,9,100,97.61,100,2.36,0.17,9,100,96.67,100,2.4,0.17,9,100,97.16,100,2.38,0.15,10,100,97.16,100,2.4,0.15,10,100,97.63,100,2.25,0.14,10,99.52,95.67,100,2.21,0.14,10,98.08,95.67,100,2.23,0.15,9,99.04,95.19,100,2.19,0.14,9,98.56,95.67,100
Dominican Republic,DOM,-0.42,0.26,4,41.4,23.66,57.53,-0.7,0.22,5,31.44,13.4,44.33,-0.72,0.23,5,28.43,12.18,43.65,-0.48,0.19,6,38.89,26.77,52.53,-0.7,0.18,7,27.78,12.63,41.41,-0.59,0.17,10,32.68,20.98,45.85,-0.69,0.17,11,28.78,17.07,42.44,-0.7,0.15,13,27.8,18.05,38.54,-0.75,0.16,13,25.24,16.99,36.89,-0.73,0.16,13,26.7,15.53,37.86,-0.78,0.16,13,23.92,15.31,36.84,-0.84,0.16,12,20.95,12.86,32.38,-0.81,0.15,13,21.8,15.17,34.12,-0.86,0.14,13,19.91,11.85,31.28,-0.87,0.14,13,21.33,11.85,31.28,-0.82,0.14,12,23.08,13.46,33.17,-0.82,0.14,13,21.15,13.46,31.73,-0.76,0.14,13,22.6,13.46,33.17,-0.74,0.13,13,24.52,15.38,36.06
Algeria,DZA,-0.57,0.26,4,33.33,16.67,52.69,-0.88,0.21,6,22.16,6.7,35.05,-0.94,0.22,6,18.78,4.57,32.49,-0.88,0.2,6,23.23,6.06,33.84,-0.69,0.18,8,28.79,13.13,41.92,-0.68,0.16,10,27.8,16.1,40.98,-0.48,0.17,10,40,23.9,51.71,-0.52,0.15,11,36.59,23.9,46.83,-0.56,0.16,12,34.47,20.39,47.57,-0.59,0.16,12,33.01,19.42,44.17,-0.58,0.16,12,33.49,20.1,46.89,-0.52,0.16,12,36.67,21.9,48.1,-0.54,0.15,13,35.07,22.27,48.82,-0.5,0.15,14,37.44,26.07,48.82,-0.47,0.15,14,39.34,26.07,50.24,-0.6,0.15,13,32.21,21.15,44.23,-0.66,0.15,12,28.85,18.27,41.83,-0.69,0.15,12,27.4,14.9,37.5,-0.61,0.14,12,30.29,18.75,42.31
Ecuador,ECU,-0.68,0.26,4,30.11,12.9,49.46,-0.85,0.22,5,23.71,8.25,36.08,-0.89,0.21,6,20.3,6.09,33.5,-0.89,0.19,7,22.73,6.06,33.33,-0.76,0.18,8,26.77,11.11,39.9,-0.7,0.16,12,26.83,15.12,39.02,-0.71,0.17,12,26.83,17.07,41.95,-0.75,0.17,13,24.39,16.1,38.54,-0.77,0.17,14,23.3,13.11,36.89,-0.69,0.17,13,28.64,16.99,40.29,-0.8,0.16,14,22.49,13.4,35.41,-0.77,0.16,14,22.86,15.71,36.67,-0.71,0.16,13,24.64,17.54,39.34,-0.58,0.14,14,34.12,22.75,45.5,-0.57,0.14,14,35.07,21.8,45.97,-0.75,0.14,12,25,14.9,36.06,-0.67,0.14,13,28.37,18.27,40.87,-0.68,0.14,14,27.88,15.87,37.02,-0.6,0.13,13,30.77,19.71,42.31
"Egypt, Arab Rep.",EGY,-0.47,0.24,5,38.71,19.89,53.76,-0.46,0.19,7,38.66,28.35,51.55,-0.55,0.2,7,34.01,21.32,48.22,-0.41,0.18,7,42.42,29.8,53.54,-0.55,0.18,8,35.35,21.21,47.98,-0.65,0.16,10,29.27,17.56,42.44,-0.62,0.17,10,31.22,18.05,44.88,-0.75,0.15,12,25.37,17.07,37.56,-0.76,0.16,12,24.27,16.5,36.89,-0.78,0.16,12,23.79,15.05,35.44,-0.52,0.16,13,36.36,23.92,50.24,-0.63,0.16,13,30.95,19.52,42.38,-0.7,0.15,14,25.59,18.48,39.34,-0.6,0.13,16,33.18,22.27,43.13,-0.63,0.13,16,31.75,21.33,41.71,-0.62,0.13,15,30.77,21.15,42.79,-0.64,0.13,15,30.29,19.23,41.83,-0.65,0.14,14,31.25,16.83,39.42,-0.54,0.13,15,34.13,23.56,44.23
Eritrea,ERI,0.51,0.34,2,72.04,54.3,81.18,0.81,0.28,4,78.87,65.98,85.05,0.69,0.27,4,75.63,63.96,84.77,-0.03,0.28,4,56.57,36.87,71.21,-0.13,0.24,5,55.56,35.35,63.13,-0.22,0.21,7,51.22,33.66,58.05,-0.36,0.21,7,44.88,28.29,56.1,-0.35,0.19,8,42.44,30.24,56.1,-0.44,0.19,8,38.35,24.27,54.37,-0.39,0.19,8,40.78,28.16,54.85,-0.49,0.2,8,37.32,22.01,53.59,-0.56,0.19,8,33.81,20,50,-0.63,0.19,8,30.33,18.48,47.87,-0.78,0.2,8,24.64,11.85,38.86,-0.9,0.2,9,20.38,9,34.6,-0.89,0.21,7,18.75,8.65,34.13,-1.3,0.19,8,7.69,0.96,14.42,-1.31,0.18,9,8.17,1.92,13.46,-1.2,0.18,9,10.58,3.85,16.35
Spain,ESP,1.13,0.21,6,82.8,76.34,90.32,1.4,0.19,6,90.72,82.99,92.27,1.37,0.2,6,89.85,83.76,92.39,1.36,0.18,6,88.89,83.33,91.41,1.39,0.19,6,89.39,82.32,91.92,1.36,0.17,7,88.78,83.9,91.71,1.34,0.17,7,88.78,81.95,92.2,1.19,0.16,9,84.88,79.02,90.73,1.09,0.17,10,83.98,76.7,89.81,1.19,0.16,10,84.47,78.64,91.75,1.06,0.17,10,82.3,74.16,88.04,1.08,0.17,9,82.38,74.76,88.57,1.1,0.16,10,82.46,76.78,89.1,1.13,0.15,10,83.41,77.25,88.63,0.9,0.15,10,78.2,72.99,82.94,0.63,0.14,10,72.12,66.35,78.37,0.58,0.14,10,69.71,66.35,76.92,0.52,0.15,10,68.27,64.9,76.44,0.49,0.13,10,68.27,64.42,75
Estonia,EST,0.45,0.28,3,69.89,57.53,80.65,0.65,0.19,6,75.26,65.98,81.96,0.84,0.18,8,79.19,72.59,84.77,0.74,0.15,9,77.78,71.72,82.32,0.91,0.15,10,80.81,75.25,83.33,0.98,0.14,11,82.44,75.61,85.37,1.03,0.13,11,81.95,77.56,84.39,1.02,0.13,12,81.95,76.59,84.88,1,0.13,12,79.61,74.27,84.95,0.99,0.13,12,81.07,74.27,84.47,1.01,0.14,11,80.38,74.16,85.17,1,0.14,11,80.48,74.29,85.24,1.05,0.13,12,81.52,76.78,85.31,1.1,0.12,13,81.99,77.25,87.2,1.19,0.13,13,83.41,80.57,89.57,1.3,0.13,13,87.98,82.21,90.87,1.29,0.13,13,87.98,82.69,90.38,1.27,0.13,12,88.94,81.25,90.38,1.24,0.12,12,87.02,82.21,89.42
Ethiopia,ETH,-0.93,0.26,4,18.82,3.23,36.56,-0.57,0.21,6,34.02,19.59,48.97,-0.45,0.22,6,38.07,25.38,54.82,-0.58,0.2,6,33.33,21.21,47.47,-0.66,0.18,8,30.81,15.15,44.44,-0.73,0.16,10,26.34,14.15,37.56,-0.77,0.16,11,23.41,15.61,38.05,-0.65,0.15,14,30.73,19.51,39.51,-0.63,0.15,14,31.07,19.42,41.26,-0.66,0.15,13,29.13,17.96,39.81,-0.7,0.16,13,26.32,18.18,39.71,-0.69,0.16,14,28.1,17.62,40.48,-0.66,0.15,15,28.44,19.43,40.28,-0.6,0.14,14,32.23,21.33,43.13,-0.49,0.14,15,37.91,26.07,48.34,-0.44,0.13,14,39.42,29.81,51.44,-0.45,0.14,14,40.87,27.88,50.96,-0.42,0.14,13,39.9,31.25,50.48,-0.56,0.13,13,33.17,22.6,44.23
Finland,FIN,2.21,0.21,6,99.46,93.01,100,2.26,0.19,6,100,93.81,100,2.44,0.2,6,100,94.42,100,2.43,0.18,6,100,96.46,100,2.44,0.19,6,100,96.97,100,2.44,0.17,7,100,97.07,100,2.33,0.17,7,100,97.56,100,2.46,0.18,8,99.51,97.07,100,2.4,0.19,8,99.51,96.12,100,2.34,0.18,8,99.03,95.63,100,2.25,0.17,9,98.56,94.74,100,2.16,0.17,9,98.1,93.81,100,2.2,0.17,9,99.05,94.31,100,2.24,0.15,10,98.1,95.73,100,2.2,0.15,10,98.1,95.73,100,2.17,0.14,10,98.56,95.19,100,2.28,0.14,10,99.52,95.67,100,2.24,0.15,9,99.52,96.15,100,2.22,0.14,9,99.04,96.63,100
Fiji,FJI,0.66,0.34,2,73.66,59.68,84.41,0.5,0.3,3,70.1,55.15,81.96,0.31,0.29,3,64.97,53.3,77.16,0.3,0.3,3,65.15,49.49,77.78,0.06,0.28,3,59.09,41.41,72.73,0.16,0.27,3,59.51,48.78,72.2,-0.3,0.26,3,48.29,25.85,58.05,0.01,0.26,4,57.56,39.02,69.76,-0.05,0.26,4,56.31,36.89,69.9,-0.05,0.26,4,56.31,37.86,67.48,-0.34,0.27,4,44.02,23.44,60.77,-0.46,0.26,5,40,19.52,56.67,-0.13,0.26,5,54.5,34.6,65.4,-0.11,0.26,5,56.4,35.55,65.88,-0.12,0.27,5,54.5,35.07,65.4,0.18,0.28,4,61.06,49.52,72.12,0.17,0.27,4,62.02,48.56,69.71,0.13,0.26,4,61.54,46.15,69.23,0.36,0.28,3,65.38,53.85,78.85
France,FRA,1.25,0.21,6,84.95,80.65,91.4,1.39,0.19,6,90.21,82.47,92.27,1.37,0.2,6,89.34,83.76,92.39,1.23,0.18,6,84.85,81.31,90.91,1.35,0.19,6,86.36,81.82,91.41,1.33,0.17,7,88.29,83.41,91.71,1.37,0.17,7,89.76,82.93,92.2,1.46,0.16,9,91.71,84.88,92.2,1.46,0.17,10,91.75,84.95,92.23,1.41,0.16,10,91.26,83.01,91.75,1.44,0.17,10,90.43,84.21,92.82,1.47,0.17,9,89.52,84.29,92.86,1.53,0.16,10,90.52,85.31,93.36,1.46,0.15,10,90.05,83.89,92.89,1.33,0.15,10,88.15,81.52,91,1.31,0.14,9,88.94,82.21,90.87,1.31,0.14,9,88.94,82.21,90.87,1.4,0.15,10,90.38,83.17,92.79,1.26,0.13,10,87.5,81.73,89.42
"Micronesia, Fed. Sts.",FSM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,0.57,1,50,12.37,76.8,-0.22,0.39,2,48.73,23.86,69.04,-0.32,0.44,2,45.45,12.63,69.7,-0.34,0.43,2,45.96,11.11,69.19,-0.04,0.29,3,55.12,35.61,69.76,-0.24,0.27,3,51.22,28.78,60.49,-0.25,0.31,3,48.29,23.9,63.41,-0.34,0.31,3,45.63,19.9,60.19,-0.31,0.31,3,46.12,20.39,62.14,-0.13,0.33,3,54.55,26.79,69.38,-0.15,0.33,3,54.29,28.1,69.05,-0.34,0.33,3,45.02,19.91,63.51,-0.15,0.33,3,54.03,28.44,67.77,-0.2,0.32,3,52.13,26.07,65.4,0.77,0.33,3,75.96,62.02,88.94,0.68,0.31,3,75,61.54,84.13,0.65,0.31,3,73.08,61.54,83.65,0.75,0.31,3,77.88,62.5,87.5
Gabon,GAB,-1.1,0.26,4,13.98,0.54,30.65,-0.96,0.21,6,18.56,3.09,31.96,-0.71,0.22,6,29.44,12.18,43.65,-0.59,0.2,6,32.83,20.2,47.47,-0.63,0.21,6,32.32,13.13,46.97,-0.85,0.19,7,21.95,10.73,34.63,-0.67,0.19,7,29.76,17.07,44.39,-0.97,0.17,9,18.05,6.83,28.78,-1.06,0.18,9,13.11,4.37,22.82,-1.08,0.17,9,13.59,3.88,21.84,-1,0.19,8,17.7,4.31,26.32,-0.87,0.18,8,20.48,10.95,32.38,-0.89,0.18,8,19.91,8.53,33.18,-0.7,0.16,10,28.44,17.06,40.76,-0.66,0.16,11,29.38,18.96,43.13,-0.69,0.16,10,28.37,15.38,40.87,-0.71,0.15,11,26.44,14.9,38.94,-0.75,0.16,11,23.08,13.46,35.58,-0.81,0.15,11,20.67,13.46,31.73
United Kingdom,GBR,1.98,0.21,6,95.16,91.4,100,2.11,0.19,6,96.39,92.27,100,2.14,0.2,6,95.94,92.39,100,2.06,0.18,6,94.95,91.92,98.99,2.04,0.19,6,95.45,91.92,98.48,1.93,0.17,7,94.63,91.71,98.05,1.9,0.17,7,94.63,92.2,98.05,1.79,0.16,9,92.68,91.71,96.1,1.74,0.17,9,92.72,91.75,96.12,1.68,0.16,9,92.23,91.26,94.66,1.63,0.17,9,91.87,88.04,94.26,1.6,0.17,9,92.38,88.1,93.81,1.62,0.16,10,92.42,88.15,94.31,1.67,0.15,10,92.89,89.57,94.79,1.7,0.15,10,93.36,89.57,95.73,1.74,0.14,10,93.27,90.87,95.19,1.88,0.14,10,93.75,92.31,97.12,1.9,0.15,10,94.23,92.79,97.6,1.84,0.13,10,94.71,92.31,97.12
Georgia,GEO,-1.53,0.34,2,1.08,0,17.74,-0.96,0.23,4,18.04,2.58,32.47,-1.01,0.22,5,15.23,3.55,31.47,-1.23,0.22,5,5.56,0,22.73,-0.7,0.2,6,28.28,11.62,42.93,-0.47,0.17,9,37.07,25.37,51.22,-0.22,0.16,9,51.71,40,57.56,0.04,0.15,12,58.54,50.24,64.88,-0.13,0.15,13,54.37,40.78,59.71,-0.11,0.14,13,54.37,43.2,60.68,-0.12,0.15,13,55.5,43.06,60.77,0.01,0.14,13,57.14,51.9,63.81,0.12,0.14,13,61.61,54.5,67.77,0.4,0.13,15,68.72,62.56,72.51,0.47,0.14,14,69.67,63.51,73.93,0.79,0.14,14,76.44,70.19,80.29,0.68,0.14,14,74.52,67.31,78.85,0.69,0.15,12,74.04,66.83,79.81,0.74,0.14,12,77.4,68.75,81.25
Ghana,GHA,-0.34,0.26,4,46.24,25.81,59.68,-0.26,0.21,6,46.91,31.96,58.76,-0.1,0.22,6,54.82,36.55,63.96,-0.33,0.19,7,44.44,32.32,57.58,-0.25,0.18,9,48.99,35.35,58.59,-0.25,0.16,11,50.24,35.61,56.1,-0.37,0.16,11,43.9,30.73,54.15,-0.02,0.16,13,56.59,46.34,62.44,0.04,0.16,13,58.25,50.97,65.05,-0.07,0.15,14,55.34,45.63,61.65,-0.01,0.15,15,59.33,50.24,65.07,0.01,0.15,15,57.62,50,63.81,-0.03,0.14,16,57.35,50.71,63.51,-0.13,0.13,16,54.98,45.5,60.66,-0.1,0.13,16,55.45,45.97,61.61,-0.19,0.13,15,52.4,42.79,57.69,-0.2,0.13,15,52.88,42.31,57.69,-0.16,0.13,15,51.92,42.79,59.13,-0.23,0.13,15,49.04,41.83,56.25
Guinea,GIN,-0.94,0.32,3,18.28,2.15,41.4,-0.98,0.27,5,17.01,1.03,35.05,-0.95,0.27,5,17.77,3.05,35.03,-0.72,0.26,5,29.8,9.09,46.97,-0.82,0.23,6,22.73,8.08,40.4,-0.92,0.2,7,18.05,8.78,32.2,-1.05,0.2,7,14.63,3.41,25.85,-1.12,0.19,8,11.22,3.9,21.95,-1.28,0.19,8,6.8,0.97,17.96,-1.2,0.18,9,7.28,1.94,18.45,-1.08,0.19,9,13.4,3.35,24.4,-1.2,0.18,9,8.1,1.43,19.05,-1.1,0.17,10,13.27,3.32,21.33,-1.04,0.15,12,15.17,4.74,22.75,-1.04,0.15,13,13.74,6.16,21.8,-1.06,0.15,13,13.46,7.69,22.6,-0.99,0.14,14,14.42,10.1,24.04,-0.92,0.15,13,15.87,11.06,28.37,-1.01,0.13,14,14.42,10.1,21.63
"Gambia, The",GMB,-0.37,0.32,3,43.55,19.35,60.75,-0.45,0.27,5,40.21,20.62,54.64,-0.39,0.27,5,42.13,25.38,58.88,-0.44,0.26,5,40.91,23.23,57.58,-0.29,0.22,6,46.97,30.81,60.1,-0.61,0.2,7,29.76,16.1,48.78,-0.71,0.2,7,28.29,15.61,43.41,-0.72,0.18,8,26.83,16.1,39.02,-0.73,0.19,8,27.18,15.05,38.83,-0.74,0.18,8,25.73,14.56,39.32,-0.57,0.19,8,33.97,20.1,49.28,-0.59,0.18,8,32.38,19.05,47.62,-0.51,0.18,8,37.44,22.27,52.61,-0.64,0.17,8,30.33,18.48,44.08,-0.7,0.17,9,27.49,16.11,41.71,-0.69,0.17,9,27.88,15.38,41.83,-0.77,0.16,9,23.08,13.46,36.54,-0.81,0.17,9,21.63,12.02,32.69,-0.66,0.15,9,27.4,16.35,41.83
Guinea-Bissau,GNB,-1.19,0.32,3,8.06,0,30.65,-1.21,0.27,5,8.25,0.52,28.35,-1.1,0.27,5,12.18,1.02,30.46,-1.01,0.26,5,14.14,0,32.83,-1.15,0.26,5,9.6,0,27.27,-1.22,0.22,6,9.76,0.98,21.46,-1.15,0.22,6,12.68,0.98,22.44,-1.09,0.22,6,13.17,1.95,26.83,-1.19,0.23,6,7.77,0.97,20.87,-1.18,0.23,6,8.74,0.97,21.84,-1.2,0.24,6,8.13,0.48,22.97,-1.16,0.23,6,11.9,1.43,21.9,-1.16,0.22,6,11.85,1.42,22.75,-1.28,0.2,6,6.16,0,17.06,-1.33,0.2,7,4.74,0,16.11,-1.54,0.19,7,2.88,0,9.13,-1.48,0.19,7,2.88,0,10.58,-1.55,0.19,7,2.88,0,9.62,-1.56,0.17,7,2.88,0,8.65
Equatorial Guinea,GNQ,-1.26,0.28,3,6.45,0,25.27,-1.31,0.22,5,3.61,0.52,18.56,-1.55,0.22,5,1.02,0,7.11,-1.43,0.2,5,1.01,0,10.61,-1.52,0.22,5,1.01,0,9.6,-1.66,0.2,6,0.49,0,6.34,-1.61,0.2,6,0.49,0,7.32,-1.59,0.21,6,0.98,0,7.32,-1.5,0.22,5,2.43,0,9.22,-1.47,0.22,5,2.91,0,12.14,-1.47,0.22,5,1.91,0,12.44,-1.47,0.21,6,1.9,0,12.86,-1.46,0.21,6,1.9,0,12.8,-1.52,0.22,6,0.47,0,10.9,-1.59,0.22,7,0,0,9,-1.77,0.23,6,0,0,4.33,-1.77,0.22,6,0,0,3.37,-1.81,0.22,6,0,0,4.81,-1.83,0.21,6,0,0,4.81
Greece,GRC,0.34,0.21,6,64.52,56.99,74.73,0.79,0.19,6,78.35,69.07,83.51,0.66,0.2,6,75.13,65.48,83.76,0.42,0.18,6,71.21,61.11,77.27,0.39,0.19,6,70.2,60.1,75.76,0.46,0.17,7,71.71,60,75.61,0.36,0.17,7,65.37,58.05,71.71,0.36,0.16,9,68.29,59.51,73.17,0.27,0.17,9,64.56,57.28,72.33,0.13,0.16,9,61.17,53.88,67.96,0.07,0.17,9,59.81,52.63,67.94,-0.06,0.17,10,56.67,44.29,63.33,-0.1,0.17,10,55.45,43.13,63.03,-0.19,0.15,11,52.61,40.76,59.72,-0.05,0.15,11,57.82,46.92,63.03,-0.12,0.14,10,53.37,44.23,59.13,-0.08,0.14,10,55.29,46.63,61.54,-0.09,0.15,10,55.29,43.75,61.54,-0.14,0.13,10,52.4,44.23,58.65
Grenada,GRD,0.87,0.48,1,80.11,59.14,91.4,0.7,0.38,2,76.8,58.76,85.57,0.53,0.34,2,72.08,57.36,84.26,0.7,0.34,2,77.27,61.11,85.86,0.7,0.32,2,76.26,62.12,84.85,0.61,0.29,3,73.17,58.54,83.9,0.66,0.28,3,73.17,60.49,82.93,0.63,0.31,3,73.66,60,84.39,0.38,0.31,3,69.9,54.37,77.67,0.32,0.29,3,65.53,53.4,74.27,0.36,0.31,3,68.9,54.07,77.03,0.43,0.31,3,70,56.19,79.52,0.42,0.3,3,69.19,55.92,78.67,0.42,0.3,3,69.19,56.4,77.73,0.42,0.31,3,67.77,55.45,79.15,0.25,0.34,2,62.98,47.12,76.44,0.56,0.23,4,68.75,62.02,78.85,0.56,0.23,4,69.71,62.02,80.77,0.48,0.23,4,67.31,59.13,80.29
